CS ID,Ve0,Ve0-Vo0,dx0,Vy
LS-THC-G1-2-E1-10-00B-3030-00000148,60,40,25,0.3
LS-THC-G1-2-E1-10-00B-3030-00000149,60,40,26,0.3
LS-THC-G1-2-E1-10-00B-3030-00000150,60,40,27,0.3
LS-THC-G1-2-E1-10-00B-3030-00000151,60,40,28,0.3
LS-THC-G1-2-E1-10-00B-3030-00000152,60,40,29,0.3
LS-THC-G1-2-E1-10-00B-3030-00000153,60,40,30,0.3
LS-THC-G1-2-E1-10-00B-3030-00000154,60,40,31,0.3
LS-THC-G1-2-E1-10-00B-3030-00000155,60,40,32,0.3
LS-THC-G1-2-E1-10-00B-3030-00000156,60,40,33,0.3
LS-THC-G1-2-E1-10-00B-3030-00000157,60,40,34,0.3
LS-THC-G1-2-E1-10-00B-3030-00000158,60,40,35,0.3
LS-THC-G1-2-E1-10-00B-3030-00000159,60,40,36,0.3
LS-THC-G1-2-E1-10-00B-3030-00000160,60,40,37,0.3
LS-THC-G1-2-E1-10-00B-3030-00000161,60,40,38,0.3
LS-THC-G1-2-E1-10-00B-3030-00000162,60,40,39,0.3
LS-THC-G1-2-E1-10-00B-3030-00000163,60,40,40,0.3
LS-THC-G1-2-E1-10-00B-3030-00000164,60,40,41,0.3
LS-THC-G1-2-E1-10-00B-3030-00000165,60,40,42,0.3
LS-THC-G1-2-E1-10-00B-3030-00000166,60,40,43,0.3
LS-THC-G1-2-E1-10-00B-3030-00000167,60,40,44,0.3
LS-THC-G1-2-E1-10-00B-3030-00000168,60,40,45,0.3
LS-THC-G1-2-E1-10-00B-3030-00000169,60,40,46,0.3
LS-THC-G1-2-E1-10-00B-3030-00000170,60,40,47,0.3
LS-THC-G1-2-E1-10-00B-3030-00000171,60,40,48,0.3
LS-THC-G1-2-E1-10-00B-3030-00000172,60,40,49,0.3
LS-THC-G1-2-E1-10-00B-3030-00000173,60,40,50,0.3
LS-THC-G1-2-E1-10-00B-3030-00000174,60,40,51,0.3
LS-THC-G1-2-E1-10-00B-3030-00000175,60,40,52,0.3
LS-THC-G1-2-E1-10-00B-3030-00000176,60,40,53,0.3
LS-THC-G1-2-E1-10-00B-3030-00000177,60,40,54,0.3
